department_id,id,stock_mechanic,cost_formula
#General Store - Tools Department
general_store_tools,basic_hoe,limited_1,default
general_store_tools,basic_sickle,limited_1,default
general_store_tools,basic_watering_can,limited_1,default
general_store_tools,basic_axe,limited_1,default
general_store_tools,basic_hammer,limited_1,default
general_store_tools,basic_shovel,limited_1,default
#General Store - Seeds Department
general_store_seeds,grass_starter,unlimited,default
general_store_seeds,turnip_seeds,unlimited,default
general_store_seeds,potato_seeds,unlimited,default
general_store_seeds,cucumber_seeds,unlimited,default
general_store_seeds,strawberry_seeds,unlimited,default
general_store_seeds,cabbage_seeds,unlimited,default
general_store_seeds,onion_seeds,unlimited,default
general_store_seeds,pumpkin_seeds,unlimited,default
general_store_seeds,melon_seeds,unlimited,default
general_store_seeds,tomato_seeds,unlimited,default
general_store_seeds,corn_seeds,unlimited,default
general_store_seeds,pineapple_seeds,unlimited,default
general_store_seeds,spinach_seeds,unlimited,default
general_store_seeds,carrot_seeds,unlimited,default
general_store_seeds,beetroot_seeds,unlimited,default
general_store_seeds,eggplant_seeds,unlimited,default
general_store_seeds,green_pepper_seeds,unlimited,default
general_store_seeds,sweet_potato_seeds,unlimited,default
general_store_seeds,grapes_starter,unlimited,default
general_store_seeds,wheat_seeds,unlimited,default
general_store_seeds,nether_wart_seeds,unlimited,default
general_store_seeds,orange_sapling,unlimited,default
general_store_seeds,banana_sapling,unlimited,default
general_store_seeds,apple_sapling,unlimited,default
general_store_seeds,peach_sapling,unlimited,default
general_store_seeds,basic_fertilizer,unlimited,default
general_store_seeds,quality_fertilizer,unlimited,default
general_store_seeds,speed_fertilizer,unlimited,default
general_store_seeds,turbo_fertlizer,unlimited,default
#General Store - General Department
general_store_general,blue_feather,limited_1,default
general_store_general,riceball,unlimited,default
general_store_general,oil,unlimited,default
general_store_general,flour,unlimited,default
general_store_general,curry_powder,unlimited,default
general_store_general,chocolate,unlimited,default
general_store_general,wine,unlimited,default
general_store_general,salt,unlimited,default
general_store_general,sugar,unlimited,default
