name,occupation,class,skin,inside_color,outside_color,loot_table,script
harvestfestival:harvest_goddess,goddess,god,,0x8CEED3,0x4EC485,harvestfestival:harvest_goddess,harvestfestival:npcs/harvest_goddess
harvestfestival:yulif,builder,adult,,0x313857,0x121421,none,,,
harvestfestival:jade,villager,adult,,0x653081,0x361840,,,
harvestfestival:johan,villager,adult,,0xFFFFFF,0xC60C30,,,
harvestfestival:jenni,villager,adult,,0xDDD0AD,0xE79043,,,
harvestfestival:candice,villager,adult,,0xF65FAB,0xF21985,,,
harvestfestival:trent,villager,adult,,0xF65FAB,0xF21985,,,
harvestfestival:ashlee,villager,adult,,0xC62D2D,0x571111,,,
harvestfestival:alicia,villager,adult,,0xC62D2D,0x571111,,,
harvestfestival:jim,villager,adult,,0xDE7245,0x722B19,,,
harvestfestival:daniel,villager,adult,,0x613827,0x23150E,,,
harvestfestival:brandon,villager,dwarf,,0xC28D48,0x5F5247,,,
harvestfestival:jakob,villager,adult,,0x7396FF,0x0036D9,,,
harvestfestival:nicholas,villager,adult,,0xDD9C0C,0x292019,,,
harvestfestival:nicole,villager,adult,,0xDD9C0C,0x292019,,,
harvestfestival:nathan,villager,adult,,0xC62D2D,0x571111,,,
harvestfestival:liara,villager,adult,,0xBEC8EE,0x8091D0,,,
harvestfestival:katlin,villager,adult,,0xDDDDDD,0x777777,,,
harvestfestival:tiberius,villager,adult,,0x305A2E,0x142419,,,
harvestfestival:lily,villager,adult,,0xDFE0E2,0xBFC297,,,
harvestfestival:liam,villager,adult,,0x228C00,0x003F00,,,
harvestfestival:fenn,villager,child,,0x228C00,0x003F00,,,
harvestfestival:claudius,villager,adult,,0x663300,0x351B00,,,
harvestfestival:jared,villager,adult,,0x939594,0x4F4F51,,,
harvestfestival:damian,villager,adult,,0x939594,0x4F4F51,,,
harvestfestival:luke,villager,adult,,0x939594,0x4F4F51,,,
harvestfestival:aria,villager,child,,0xFFFFFF,0x73FFFF,,,
harvestfestival:tomas,villager,adult,,0x006666,0x00B2B20,,,
harvestfestival:jeimmi,villager,adult,,0xA8AC9A,0x3B636D,,,
harvestfestival:benjii,villager,adult,,0xFFFF99,0xB2B200,,,
harvestfestival:cloe,villager,adult,,0xFFFF99,0xB2B200,,,
harvestfestival:abii,villager,child,,0xFF99FF,0xFF20FF,,,
harvestfestival:zephyr,villager,adult,,0x300040,0x000000,,,
