department_id,listing_id,condition_id
cafe_menu,cornflakes,cafe_breakfast_hours
cafe_menu,scrambled_egg,cafe_breakfast_hours
cafe_menu,pancake,cafe_breakfast_hours
cafe_menu,toast,cafe_breakfast_hours
cafe_menu,omelet,cafe_breakfast_hours
cafe_menu,porridge,cafe_breakfast_hours
cafe_menu,apple_juice,cafe_breakfast_hours
cafe_menu,orange_juice,cafe_breakfast_hours
cafe_menu,juice_of_the_day,cafe_breakfast_hours
cafe_menu,soup_of_the_day,cafe_lunch_hours
cafe_menu,stew_of_the_day,cafe_lunch_hours
cafe_menu,grilled_fish,cafe_lunch_hours
cafe_menu,risotto,cafe_lunch_hours
cafe_menu,curry_rice,cafe_lunch_hours
cafe_menu,cake_of_the_day,cafe_lunch_hours
cafe_menu,ice_cream,cafe_lunch_hours
cafe_menu,jam_bun,cafe_sunday_lunch_hours
cafe_menu,salad_of_the_day,cafe_sunday_lunch_hours
cafe_menu,hot_milk,cafe_sunday_lunch_hours
cafe_menu,sandwich_of_the_day,cafe_sunday_lunch_hours
cafe_menu,stir_fry,cafe_sunday_lunch_hours
cafe_menu,tempura,cafe_sunday_lunch_hours
cafe_menu,apple_pie,cafe_sunday_lunch_hours
cafe_menu,apple_souffle,cafe_sunday_lunch_hours
cafe_menu,herb_soup,cafe_dinner_hours
cafe_menu,salad,cafe_dinner_hours
cafe_menu,hot_chocolate,cafe_dinner_hours
cafe_menu,happy_eggplant,cafe_dinner_hours
cafe_menu,sweet_potatoes,cafe_dinner_hours
cafe_menu,mushroom_rice,cafe_dinner_hours
cafe_menu,curry_noodles,cafe_dinner_hours
cafe_menu,evening_souffle,cafe_dinner_hours
cafe_recipes,frying_pan,watched_frying_pan
cafe_recipes,cooking_pot,watched_cooking_pot
cafe_recipes,mixer,watched_mixer
cafe_recipes,power_berry,watched_power_berry
cafe_recipes,vegetable_juice_recipe,is_spring
cafe_recipes,vegetable_juice_recipe,monday
cafe_recipes,sushi_recipe,is_spring
cafe_recipes,sushi_recipe,tuesday
cafe_recipes,sashimi_recipe,is_spring
cafe_recipes,sashimi_recipe,wednesday
cafe_recipes,chirashi_sushi_recipe,is_spring
cafe_recipes,chirashi_sushi_recipe,thursday
cafe_recipes,pickled_cucumber_recipe,is_spring
cafe_recipes,pickled_cucumber_recipe,friday
cafe_recipes,herb_salad_recipe,is_spring
cafe_recipes,herb_salad_recipe,saturday
cafe_recipes,herb_soup_recipe,is_spring
cafe_recipes,herb_soup_recipe,sunday
cafe_recipes,ketchup_recipe,is_summer
cafe_recipes,ketchup_recipe,monday
cafe_recipes,pumpkin_stew_recipe,is_summer
cafe_recipes,pumpkin_stew_recipe,tuesday
cafe_recipes,fried_rice_recipe,is_summer
cafe_recipes,fried_rice_recipe,wednesday
cafe_recipes,doria_recipe,is_summer
cafe_recipes,doria_recipe,thursday
cafe_recipes,fruit_juice_recipe,is_summer
cafe_recipes,fruit_juice_recipe,friday
cafe_recipes,tomato_juice_recipe,is_summer
cafe_recipes,tomato_juice_recipe,saturday
cafe_recipes,cornflakes_recipe,is_summer
cafe_recipes,cornflakes_recipe,sunday
cafe_recipes,herb_sandwich_recipe,is_autumn
cafe_recipes,herb_sandwich_recipe,monday
cafe_recipes,sweet_potatoes_recipe,is_autumn
cafe_recipes,sweet_potatoes_recipe,tuesday
cafe_recipes,happy_eggplant_recipe,is_autumn
cafe_recipes,happy_eggplant_recipe,wednesday
cafe_recipes,sandwich_recipe,is_autumn
cafe_recipes,sandwich_recipe,thursday
cafe_recipes,fruit_sandwich_recipe,is_autumn
cafe_recipes,fruit_sandwich_recipe,friday
cafe_recipes,boiled_spinach_recipe,is_autumn
cafe_recipes,boiled_spinach_recipe,saturday
cafe_recipes,toasted_riceballs_recipe,is_autumn
cafe_recipes,toasted_riceballs_recipe,sunday
cafe_recipes,omelet_recipe,is_winter
cafe_recipes,omelet_recipe,monday
cafe_recipes,boiled_egg_recipe,is_winter
cafe_recipes,boiled_egg_recipe,tuesday
cafe_recipes,egg_overrice_recipe,is_winter
cafe_recipes,egg_overrice_recipe,wednesday
cafe_recipes,mix_juice_recipe,is_winter
cafe_recipes,mix_juice_recipe,thursday
cafe_recipes,pancake_recipe,is_winter
cafe_recipes,pancake_recipe,friday
cafe_recipes,matsutake_rice_recipe,is_winter
cafe_recipes,matsutake_rice_recipe,saturday
cafe_recipes,mushroom_rice_recipe,is_winter
cafe_recipes,mushroom_rice_recipe,sunday
