department_id,id,stock_mechanic,cost_formula
#Animals
pet_shop_animals,cat,limited_1,default
pet_shop_animals,dog,limited_1,default
pet_shop_animals,parrot,limited_1,default
pet_shop_animals,horse,limited_1,default
#Tools
pet_shop_items,bowl,unlimited,default
pet_shop_items,cat_food,unlimited,default
pet_shop_items,dog_food,unlimited,default
pet_shop_items,parrot_food,unlimited,default
pet_shop_items,horse_food,unlimited,default
pet_shop_items,cat_treat,unlimited,default
pet_shop_items,dog_treat,unlimited,default
pet_shop_items,horse_treat,unlimited,default
pet_shop_items,name_tag,unlimited,default
pet_shop_items,lead,unlimited,default
pet_shop_items,brush,unlimited,default
