department_id,listing_id,id,type,data,gold,weight
#Copper
blacksmith_upgrades,copper_axe,default,script,harvestfestival:shops/blacksmith,2500,1
blacksmith_upgrades,copper_hammer,default,script,harvestfestival:shops/blacksmith,2500,1
blacksmith_upgrades,copper_shovel,default,script,harvestfestival:shops/blacksmith,2500,1
blacksmith_upgrades,copper_hoe,default,script,harvestfestival:shops/blacksmith,2500,1
blacksmith_upgrades,copper_watering_can,default,script,harvestfestival:shops/blacksmith,2500,1
blacksmith_upgrades,copper_sickle,default,script,harvestfestival:shops/blacksmith,2500,1
blacksmith_upgrades,copper_fishing_rod,default,script,harvestfestival:shops/blacksmith,2500,1
blacksmith_upgrades,copper_sword,default,script,harvestfestival:shops/blacksmith,2500,1
#Silver
blacksmith_upgrades,silver_axe,default,script,harvestfestival:shops/blacksmith,5000,1
blacksmith_upgrades,silver_hammer,default,script,harvestfestival:shops/blacksmith,5000,1
blacksmith_upgrades,silver_shovel,default,script,harvestfestival:shops/blacksmith,5000,1
blacksmith_upgrades,silver_hoe,default,script,harvestfestival:shops/blacksmith,5000,1
blacksmith_upgrades,silver_watering_can,default,script,harvestfestival:shops/blacksmith,5000,1
blacksmith_upgrades,silver_sickle,default,script,harvestfestival:shops/blacksmith,5000,1
blacksmith_upgrades,silver_fishing_rod,default,script,harvestfestival:shops/blacksmith,5000,1
blacksmith_upgrades,silver_sword,default,script,harvestfestival:shops/blacksmith,5000,1
#Gold
blacksmith_upgrades,gold_axe,default,script,harvestfestival:shops/blacksmith,10000,1
blacksmith_upgrades,gold_hammer,default,script,harvestfestival:shops/blacksmith,10000,1
blacksmith_upgrades,gold_shovel,default,script,harvestfestival:shops/blacksmith,10000,1
blacksmith_upgrades,gold_hoe,default,script,harvestfestival:shops/blacksmith,10000,1
blacksmith_upgrades,gold_watering_can,default,script,harvestfestival:shops/blacksmith,10000,1
blacksmith_upgrades,gold_sickle,default,script,harvestfestival:shops/blacksmith,10000,1
blacksmith_upgrades,gold_fishing_rod,default,script,harvestfestival:shops/blacksmith,10000,1
blacksmith_upgrades,gold_sword,default,script,harvestfestival:shops/blacksmith,10000,1
#Mystril
blacksmith_upgrades,mystril_axe,default,script,harvestfestival:shops/blacksmith,25000,1
blacksmith_upgrades,mystril_hammer,default,script,harvestfestival:shops/blacksmith,25000,1
blacksmith_upgrades,mystril_shovel,default,script,harvestfestival:shops/blacksmith,25000,1
blacksmith_upgrades,mystril_hoe,default,script,harvestfestival:shops/blacksmith,25000,1
blacksmith_upgrades,mystril_watering_can,default,script,harvestfestival:shops/blacksmith,25000,1
blacksmith_upgrades,mystril_sickle,default,script,harvestfestival:shops/blacksmith,25000,1
blacksmith_upgrades,mystril_fishing_rod,default,script,harvestfestival:shops/blacksmith,25000,1
blacksmith_upgrades,mystril_sword,default,script,harvestfestival:shops/blacksmith,25000,1
#Mythic
blacksmith_upgrades,mythic_axe,default,script,harvestfestival:shops/blacksmith,100000,1
blacksmith_upgrades,mythic_hammer,default,script,harvestfestival:shops/blacksmith,100000,1
blacksmith_upgrades,mythic_shovel,default,script,harvestfestival:shops/blacksmith,100000,1
blacksmith_upgrades,mythic_hoe,default,script,harvestfestival:shops/blacksmith,100000,1
blacksmith_upgrades,mythic_watering_can,default,script,harvestfestival:shops/blacksmith,100000,1
blacksmith_upgrades,mythic_sickle,default,script,harvestfestival:shops/blacksmith,100000,1
blacksmith_upgrades,mythic_fishing_rod,default,script,harvestfestival:shops/blacksmith,100000,1
blacksmith_upgrades,mythic_sword,default,script,harvestfestival:shops/blacksmith,100000,1
#Blueprints
blacksmith_blueprints,milker,default,blueprint,harvestfestival:milker,5000,1
blacksmith_blueprints,shears,default,blueprint,minecraft:shears,5000,1
blacksmith_blueprints,brush,default,blueprint,harvestfestival:brush,2500,1
