department_id,id,stock_mechanic,cost_formula
#Copper
blacksmith_upgrades,copper_axe,limited_1,default
blacksmith_upgrades,copper_hammer,limited_1,default
blacksmith_upgrades,copper_shovel,limited_1,default
blacksmith_upgrades,copper_hoe,limited_1,default
blacksmith_upgrades,copper_watering_can,limited_1,default
blacksmith_upgrades,copper_sickle,limited_1,default
blacksmith_upgrades,copper_fishing_rod,limited_1,default
blacksmith_upgrades,copper_sword,limited_1,default
#Silver
blacksmith_upgrades,silver_axe,limited_1,default
blacksmith_upgrades,silver_hammer,limited_1,default
blacksmith_upgrades,silver_shovel,limited_1,default
blacksmith_upgrades,silver_hoe,limited_1,default
blacksmith_upgrades,silver_watering_can,limited_1,default
blacksmith_upgrades,silver_sickle,limited_1,default
blacksmith_upgrades,silver_fishing_rod,limited_1,default
blacksmith_upgrades,silver_sword,limited_1,default
#Gold
blacksmith_upgrades,gold_axe,limited_1,default
blacksmith_upgrades,gold_hammer,limited_1,default
blacksmith_upgrades,gold_shovel,limited_1,default
blacksmith_upgrades,gold_hoe,limited_1,default
blacksmith_upgrades,gold_watering_can,limited_1,default
blacksmith_upgrades,gold_sickle,limited_1,default
blacksmith_upgrades,gold_fishing_rod,limited_1,default
blacksmith_upgrades,gold_sword,limited_1,default
#Mystril
blacksmith_upgrades,mystril_axe,limited_1,default
blacksmith_upgrades,mystril_hammer,limited_1,default
blacksmith_upgrades,mystril_shovel,limited_1,default
blacksmith_upgrades,mystril_hoe,limited_1,default
blacksmith_upgrades,mystril_watering_can,limited_1,default
blacksmith_upgrades,mystril_sickle,limited_1,default
blacksmith_upgrades,mystril_fishing_rod,limited_1,default
blacksmith_upgrades,mystril_sword,limited_1,default
#Mythic
blacksmith_upgrades,mythic_axe,limited_1,default
blacksmith_upgrades,mythic_hammer,limited_1,default
blacksmith_upgrades,mythic_shovel,limited_1,default
blacksmith_upgrades,mythic_hoe,limited_1,default
blacksmith_upgrades,mythic_watering_can,limited_1,default
blacksmith_upgrades,mythic_sickle,limited_1,default
blacksmith_upgrades,mythic_fishing_rod,limited_1,default
blacksmith_upgrades,mythic_sword,limited_1,default
#Blueprints
blacksmith_blueprints,milker,limited_1,default
blacksmith_blueprints,shears,limited_1,default
blacksmith_blueprints,brush,limited_1,default
